config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
H2_cw10.0_a0.99,H2,slv,1.5,0.001,8,10.0,0.99,0.0,,full,0.0,False,0.007162947623015032,0.006563300201661867,0.0005996474213531651,0.19542599822390253,0.15494845435326088,0.04047754387064165,0.008451417118989795
H3_K6,H3,slv,1.5,0.001,6,1.0,0.95,0.0,,full,0.0,False,0.20229153925074983,0.006563300201661867,0.19572823904908795,0.22002703808776847,0.15494845435326088,0.06507858373450759,0.04110196195869723
H3_K12,H3,slv,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,0.0974486761018397,0.006563300201661867,0.09088537590017784,0.1663908812823369,0.15494845435326088,0.011442426929076016,0.02544739223059958
H3_K16,H3,slv,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,0.21812267530062576,0.006563300201661867,0.2115593750989639,0.22220196456749455,0.15494845435326088,0.06725351021423367,0.01798248966010466
H4_rl21.0,H4,slv,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,-0.004161220933510147,0.006563300201661867,-0.010724521135172013,0.16437210727171692,0.15494845435326088,0.009423652918456038,0.004660131781811371
H4_rl210.0,H4,slv,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,-0.0006719502182252136,0.006563300201661867,-0.00723525041988708,0.15678675702622066,0.15494845435326088,0.0018383026729597851,3.905332714041066e-05
H4_rl2100.0,H4,slv,1.5,0.001,8,1.0,0.95,100.0,,full,0.0,False,0.0017151175997391032,0.006563300201661867,-0.004848182601922764,0.15111625519575408,0.15494845435326088,-0.0038321991575067937,0.0040251184260322904
H4_rl21000.0,H4,slv,1.5,0.001,8,1.0,0.95,1000.0,,full,0.0,False,0.003913249742264415,0.006563300201661867,-0.0026500504593974525,0.1519060669601109,0.15494845435326088,-0.0030423873931499645,0.004418443273250559
H5_surface_only,H5,slv,1.5,0.001,8,1.0,0.95,0.0,,surface,0.0,False,0.10057973279267585,0.006563300201661867,0.09401643259101398,0.1751219038098392,0.15494845435326088,0.020173449456578313,0.009291135026632629
H5_greeks_only,H5,slv,1.5,0.001,8,1.0,0.95,0.0,,greeks,0.0,False,0.005510981241198255,0.006563300201661867,-0.0010523189604636123,0.20443771628007226,0.15494845435326088,0.049489261926811384,0.01380953123532394
C_as0.5_vf0.25_rl20.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.010420720671147382,0.006563300201661867,-0.01698402087280925,0.16695094256012247,0.15494845435326088,0.012002488206861589,0.008646396580632779
C_as0.5_vf0.25_rl20.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,0.0,0.25,full,0.0,False,-0.009093960367881876,0.006563300201661867,-0.015657260569543745,0.16503426347786862,0.15494845435326088,0.010085809124607742,0.006235370847291639
C_as0.5_vf0.25_rl210.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,10.0,0.25,full,0.0,False,-0.004813327113738312,0.006563300201661867,-0.011376627315400178,0.1540435855225781,0.15494845435326088,-0.0009048688306827757,0.002845535271267723
C_as0.5_vf0.25_rl210.0_cw3.0,combo,slv,0.5,0.001,8,3.0,0.95,10.0,0.25,full,0.0,False,-0.008939804048430965,0.006563300201661867,-0.015503104250092832,0.1561633642795958,0.15494845435326088,0.0012149099263349117,0.003105261588669284
C_as0.5_vf0.25_rl2100.0_cw1.0,combo,slv,0.5,0.001,8,1.0,0.95,100.0,0.25,full,0.0,False,0.0037983135203724697,0.006563300201661867,-0.0027649866812893974,0.15423790846018348,0.15494845435326088,-0.0007105458930773967,0.0007961245590281707
