universe,feature_set,seed,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility,turnover
slv,full,7,0.0822196807306983,0.0883051081797065,0.1314687886603103,0.1339273142187805,0.18122487283883,0.2252387753034734,0.2346317296891632,0.9503780854152736,-0.0990051921081317,41.271274219605466
slv,full,13,0.0766524771186054,0.0726607391842786,0.1185409199319363,0.1051958197098936,0.1890772200200618,0.2657211661138107,0.2749102354273763,0.7983421837015552,-0.1124247429014564,42.89404475402895
slv,full,23,0.0916197066476703,0.0779611114005105,0.1250631077553059,0.0856601924365789,0.1368171387708566,0.2182574566991427,0.2333259958413976,0.5162654405061549,-0.0451974321231862,42.137978298671
slv,full,42,0.0768186161050208,0.0870147960904585,0.1329400383439744,0.1636827911791206,0.2135278628201391,0.2703802913136593,0.2717153940952223,0.6118963194156759,-0.1367092467151183,43.55212328857354
slv,full,2025,0.0812592322104665,0.0975348565838368,0.1345363983966205,0.1580492406928291,0.1915957174655832,0.2372694722847753,0.2374574761268904,1.08319181701874,-0.1103364852551167,41.579836351420674
spx,greeks_only,7,7.957229898317029,8.352055611862548,15.106994977785062,15.011207210772804,28.778100316351885,47.07023503399815,56.40948939233071,325.01582560883253,-20.820870418034858,7361.82438569873
spx,greeks_only,13,7.752937477968416,7.163255560125473,14.833571587432386,14.696728955231295,26.279837851253237,40.706162725122205,52.292198167478105,320.1457355684604,-18.526900373284818,7110.64662951969
spx,greeks_only,23,7.17941734035656,7.309588553228849,13.25420753348653,14.19757758572421,22.57134853403856,36.80292876896327,51.8610111670416,282.92113357285484,-15.391931193681996,7068.876389733758
spx,greeks_only,42,7.502988491984131,7.218507438655617,14.017852834149688,14.960400947204322,26.34715551890627,42.29545094112469,55.53354440795395,322.43548104653496,-18.84416702692214,7513.127108436521
spx,greeks_only,2025,7.489043499152045,7.065667080533547,14.42897796122693,14.893765748394964,27.186202127177165,43.54705976335567,56.96646230820185,323.70219093724654,-19.69715862802512,7484.629694288579
spx,surface_only,7,8.232038510487799,9.038753438813028,14.689969728169334,18.45020727766612,30.047040250976767,42.42478116087343,46.86832147207748,359.4096056113747,-21.815001740488967,8934.029582819921
spx,surface_only,13,8.280354489123717,9.792383081142026,16.570362544111873,19.075577210213076,29.840232116730792,41.11554512722342,44.63322351388099,488.4979986015121,-21.55987762760708,9261.464020922347
spx,surface_only,23,6.1018602584608335,7.770496787912614,15.70615357434532,21.246874798034032,29.910163827428487,45.6247479536265,47.220788328910814,271.6450283969661,-23.80830356896765,9648.79004986152
spx,surface_only,42,11.387126443694834,11.409685858829627,22.295210459388336,26.30576402107476,36.71744650342559,48.15982275759193,55.11482976798117,574.0354272004258,-25.33032005973076,12318.87535099128
spx,surface_only,2025,9.670612833143492,10.620059808902573,15.12827954231168,21.218444604107464,31.57008581136639,40.64568646756705,44.39276233456552,436.40214655397926,-21.899472978222896,9177.67909079574
spx,full,7,6.789426658764142,8.03809841924818,15.37203029401522,17.383761549276382,24.56976595365216,36.38468973822268,41.00064045709628,207.1865002051145,-17.780339294888016,8901.214310712046
spx,full,13,7.123096194272722,8.387707337103953,15.237301152047923,16.356131709156106,23.38672884934108,35.17854923154917,40.97818588603722,192.41656713324096,-16.263632655068356,9038.730379022298
spx,full,23,6.7776128144580285,7.033833519759055,14.488057144313874,16.416075637213982,23.509698107472836,37.11889276842749,42.92684556497858,174.8576730359182,-16.732085293014805,8774.986461265747
spx,full,42,6.902967012369029,7.615637383749739,13.783074226255136,14.825995871546928,24.279206016913808,41.07307774886735,48.58896152806592,189.40160196767735,-17.37623900454478,8483.274353180605
spx,full,2025,6.66845138993429,7.218140359270235,16.398190849791387,18.607001657817197,25.91215689292654,37.635751986179095,39.95566893440222,234.0299396741607,-19.24370550299225,8689.896414120014
